,date,open,high,low,close,volume
1368,2022-09-30,19593.0,20171.0,19152.0,19425.0,2413.78432301
1369,2022-10-01,19419.0,19484.0,19174.0,19312.0,378.60698732
1370,2022-10-02,19306.0,19395.0,18931.0,19051.0,518.03380521
1371,2022-10-03,19060.0,19715.0,18975.0,19636.0,1109.13176723
1372,2022-10-04,19633.0,20469.0,19497.0,20343.0,2455.5428922
1373,2022-10-05,20343.0,20366.0,19735.0,20162.0,1789.84892196
1374,2022-10-06,20161.0,20447.0,19864.0,19951.0,1438.88952495
1375,2022-10-07,19960.0,20056.0,19335.0,19532.0,1290.58016407
1376,2022-10-08,19533.0,19624.0,19259.0,19420.0,517.31876324
1377,2022-10-09,19421.0,19604.0,19324.0,19445.0,707.27451611
1378,2022-10-10,19436.0,19525.0,19029.0,19131.0,1052.98301829
1379,2022-10-11,19131.0,19265.0,18853.0,19059.0,1332.93245318
1380,2022-10-12,19061.0,19229.0,18967.0,19157.0,870.27070879
1381,2022-10-13,19156.0,19504.0,18183.0,19377.0,2920.78208384
1382,2022-10-14,19374.0,19947.0,19083.0,19181.0,1313.80111372
1383,2022-10-15,19184.0,19229.0,18990.0,19066.0,331.43098278
1384,2022-10-16,19072.0,19425.0,19067.0,19264.0,417.01160964
1385,2022-10-17,19262.0,19672.0,19160.0,19547.0,1141.62350258
1386,2022-10-18,19547.0,19700.0,19099.0,19334.0,1524.52635389
1387,2022-10-19,19329.0,19356.0,19078.0,19126.0,1302.59535401
1388,2022-10-20,19128.0,19340.0,18913.0,19043.0,1491.66449329
1389,2022-10-21,19043.0,19245.0,18660.0,19165.0,1923.43991085
1390,2022-10-22,19166.0,19250.0,19118.0,19206.0,455.42088912
1391,2022-10-23,19208.0,19689.0,19079.0,19574.0,1195.62013587
1392,2022-10-24,19576.0,19588.0,19169.0,19332.0,1155.8634844
1393,2022-10-25,19332.0,20418.0,19222.0,20087.0,2804.51314609
1394,2022-10-26,20096.0,21012.0,20062.0,20775.0,2711.06904662
1395,2022-10-27,20771.0,20872.0,20210.0,20296.0,1669.88399576
1396,2022-10-28,20295.0,20750.0,20008.0,20599.0,1827.61380674
1397,2022-10-29,20596.0,21078.0,20566.0,20821.0,1213.18946622
1398,2022-10-30,20820.0,20931.0,20525.0,20628.0,679.83876303
1399,2022-10-31,20631.0,20833.0,20243.0,20498.0,1880.02456732
1400,2022-11-01,20493.0,20681.0,20334.0,20480.0,1276.69180973
1401,2022-11-02,20480.0,20802.0,20055.0,20154.0,2292.08236192
1402,2022-11-03,20152.0,20387.0,20039.0,20209.0,1004.11893277
1403,2022-11-04,20209.0,21290.0,20184.0,21153.0,3501.47535754
1404,2022-11-05,21152.0,21473.0,21089.0,21301.0,774.12522007
1405,2022-11-06,21299.0,21364.0,20899.0,20907.0,551.95849001
1406,2022-11-07,20899.0,21070.0,20400.0,20590.0,1417.99563473
1407,2022-11-08,20591.0,20669.0,17114.0,18550.0,12035.90178845
1408,2022-11-09,18546.0,18588.0,15632.0,15877.0,8350.5654456
1409,2022-11-10,15900.0,18150.0,15748.0,17551.0,8375.25692463
1410,2022-11-11,17548.0,17645.0,16394.0,17007.0,5636.75561159
1411,2022-11-12,17020.0,17054.0,16610.0,16788.0,1882.26415655
1412,2022-11-13,16788.0,17240.0,16263.0,16310.0,2703.91194662
1413,2022-11-14,16300.0,17130.0,15784.0,16589.0,7964.34006887
1414,2022-11-15,16586.0,17095.0,16511.0,16874.0,5633.3993478
1415,2022-11-16,16875.0,16980.0,16371.0,16654.0,4035.80042365
1416,2022-11-17,16655.0,16724.0,16412.0,16686.0,2458.66689134
1417,2022-11-18,16687.0,16971.0,16540.0,16683.0,2673.28041964
1418,2022-11-19,16683.0,16799.0,16548.0,16690.0,1377.3963971
1419,2022-11-20,16687.0,16730.0,16169.0,16256.0,1827.05676561
1420,2022-11-21,16250.0,16269.0,15479.0,15766.0,5633.48780213
1421,2022-11-22,15757.0,16281.0,15613.0,16197.0,3718.55455894
1422,2022-11-23,16199.0,16647.0,16150.0,16603.0,3505.29313128
1423,2022-11-24,16594.0,16783.0,16456.0,16591.0,2141.4844617
1424,2022-11-25,16589.0,16604.0,16339.0,16508.0,2043.43507991
1425,2022-11-26,16511.0,16685.0,16387.0,16454.0,1503.64131011
1426,2022-11-27,16451.0,16587.0,16402.0,16424.0,1189.79470656
1427,2022-11-28,16420.0,16477.0,16004.0,16210.0,3254.70177817
1428,2022-11-29,16205.0,16529.0,16102.0,16434.0,2310.87079583
1429,2022-11-30,16437.0,17223.0,16430.0,17170.0,4442.42726142
1430,2022-12-01,17166.0,17250.0,16864.0,16977.0,3207.29094124
1431,2022-12-02,16976.0,17102.0,16800.0,17095.0,2329.03284999
1432,2022-12-03,17095.0,17150.0,16868.0,16886.0,1177.01264514
1433,2022-12-04,16893.0,17195.0,16890.0,17114.0,1603.5516013
1434,2022-12-05,17113.0,17418.0,16879.0,16968.0,2251.51957602
1435,2022-12-06,16968.0,17101.0,16914.0,17087.0,1303.37122474
1436,2022-12-07,17091.0,17131.0,16736.0,16836.0,1185.39328287
1437,2022-12-08,16838.0,17296.0,16734.0,17229.0,1724.69349744
1438,2022-12-09,17229.0,17353.0,17073.0,17128.0,1226.70564841
1439,2022-12-10,17129.0,17223.0,17100.0,17128.0,677.74180701
1440,2022-12-11,17128.0,17264.0,17080.0,17091.0,1239.3577856
1441,2022-12-12,17089.0,17240.0,16881.0,17209.0,1695.0565253
1442,2022-12-13,17214.0,18106.0,17093.0,17772.0,3838.86501115
1443,2022-12-14,17771.0,18373.0,17667.0,17803.0,3836.86554644
